X,Y
4120,9.0
4608,9.7
5400,9.2
5400,11.7
5775,16.2
6440,20.0
7400,31.75
9000,40.2
9340,30.0
9340,32.5
9800,35.0
12200,36.75
13000,44.0
13795,37.2
15385,39.2
18000,41.25
18000,39.2
18180,32.0
19625,38.2
20170,36.0
22400,30.8
22400,27.9
24210,20.0
24210,22.3
25015,24.4
